firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Eli,Manning,QB,10,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3238-3033cc58aa39,00-0022803,MAN473170,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Zak,DeOssie,LS,51,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3535-3033c029e561,00-0025503,DEO425791,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
William,Gay,DB,25,STARTED,2018,32013030-2d30-3032-3535-35378850f405,00-0025557,GAY400290,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Jonathan,Stewart,RB,28,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3631-3533a3c6b9c0,00-0026153,STE770966,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
John,Greco,G,73,STARTED,2018,32013030-2d30-3032-3632-303522fe6f64,00-0026205,GRE029234,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Connor,Barwin,LB,53,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3730-323216563fd0,00-0027022,BAR811942,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
John,Jerry,G,77,STARTED,2018,32013030-2d30-3032-3736-37386830cfc0,00-0027678,JER488192,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Chris,Scott,G,68,STARTED,2018,32013030-2d30-3032-3737-3530127d1777,00-0027750,SCO142406,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Nate,Solder,T,76,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3739-353549df8be5,00-0027955,SOL076905,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Mark,Herzlich,LB,44,STARTED,2018,32013030-2d30-3032-3836-323040cbd587,00-0028620,HER828785,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Michael,Thomas,S,31,STARTED,2018,32013030-2d30-3032-3839-3038adb398e6,00-0028908,THO308948,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Damon,Harrison,DL,98,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3430a1106dc1,00-0029040,HAR576467,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Leonard,Johnson,DB,29,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3930-3837cc6fd5b1,00-0029087,JOH399760,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Rhett,Ellison,TE,85,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3935-38376e592109,00-0029587,ELL717708,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Alex,Tanney,QB,03,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-323398b6352b,00-0029623,TAN743421,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Janoris,Jenkins,CB,20,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-383164609c06,00-0029681,JEN268608,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Olivier,Vernon,LB,54,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3936-393349c3db48,00-0029693,VER613364,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Chris,Lewis-Harris,CB,39,STARTED,2018,32013030-2d30-3032-3936-393680d4a6c8,00-0029696,LEW814204,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Patrick,Omameh,G,70,PLAYER_SUBSTITUTE,2018,32013030-2d30-3032-3938-3839b8882636,00-0029889,OMA675538,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
A.J.,Francis,DL,65D,STARTED,2018,32013030-2d30-3032-3939-373221442a3a,00-0029972,FRA068603,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Ray-Ray,Armstrong,LB,55,STARTED,2018,32013030-2d30-3033-3030-35307a6d2528,00-0030050,ARM649391,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Russell,Shepard,WR,08O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3031-34375acb5d34,00-0030147,SHE495616,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Nick,Becton,T,61,STARTED,2018,32013030-2d30-3033-3033-3133d6f8134c,00-0030313,BEC819893,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
B.W.,Webb,CB,37,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3034-303319d8bbd8,00-0030403,WEB094382,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Alec,Ogletree,LB,52,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3035-32379a8d62ff,00-0030527,OGL654714,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Kerry,Wynn,DL,72,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3037-3736645cb40b,00-0030776,WYN134240,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Josh,Mauro,DL,97,STARTED,2018,32013030-2d30-3033-3038-38333145de9e,00-0030883,MAU640520,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Zac,Kerin,G,62O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3039-33374aa654e8,00-0030937,KER284944,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Robert,Thomas,DL,99,STARTED,2018,32013030-2d30-3033-3130-303626ee6f66,00-0031006,THO342128,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Kareem,Martin,LB,96,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3130-3530ceac3ccd,00-0031050,MAR665531,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Scott,Simonson,TE,82,STARTED,2018,32013030-2d30-3033-3131-36373f734f41,00-0031167,SIM449869,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Jon,Halapio,C,75,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3131-38355b92d871,00-0031185,HAL010359,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Odell,Beckham,WR,13,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3132-3335cebc9f07,00-0031235,BEC573252,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Cody,Latimer,WR,12,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3133-343474b3fe30,00-0031344,LAT362049,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Kristjan,Sokoli,G,60,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-313857f869df,00-0031618,SOK402541,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Malcolm,Bunche,G,66O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3136-3437566550a1,00-0031647,BUN139822,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Jordan,Williams,LB,79,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3138-3636cf0b8d2e,00-0031866,WIL384566,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Curtis,Riley,CB,35,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3230-3432c076d7eb,00-0032042,RIL123071,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Ereck,Flowers,T,74,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-3539a33cd163,00-0032259,FLO325059,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Landon,Collins,S,21,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3232-3632b96a69a3,00-0032262,COL624212,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Eli,Apple,CB,24,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-37393647cefa,00-0032379,APP195645,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Sterling,Shepard,WR,87,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3233-3835efcb67d8,00-0032385,SHE495754,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Jerell,Adams,TE,89,STARTED,2018,32013030-2d30-3033-3234-323923149568,00-0032429,ADA400343,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Kalif,Raymond,WR,83,STARTED,2018,32013030-2d30-3033-3234-36345f56bbbe,00-0032464,RAY748263,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Alonzo,Russell,WR,84,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3235-3530ee210f05,00-0032550,RUS329543,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
Jhurell,Pressley,RB,27O,PLAYER_SUBSTITUTE,2018,32013030-2d30-3033-3236-313189ca5dca,00-0032611,PRE433747,New York Giants,patriots-at-giants-2018-pre-4,2018-08-30T23:00:00.000Z
