firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisPlayer.person,gsisId,esbId,fullName,slug,gameTime
Mike,Daniels,DT,76,,2020,32013030-2d30-3030-3338-37333c624efd,,,,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Clark,Harris,LS,46,,2020,32013030-2d30-3032-3536-3330f6c89614,,00-0025630,HAR351770,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Kevin,Huber,P,10,,2020,32013030-2d30-3032-3731-303385b5bb7f,,00-0027103,HUB689771,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Carlos,Dunlap,DE,96,STARTED,2020,32013030-2d30-3032-3736-36325b995d23,,00-0027662,DUN474478,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Geno,Atkins,DT,97,NOT_ACTIVE,2020,32013030-2d30-3032-3737-32308e698bcb,,00-0027720,ATK216644,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
A.J.,Green,WR,18,STARTED,2020,32013030-2d30-3032-3739-3432de086283,,00-0027942,GRE034604,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Josh,Bynes,LB,56,STARTED,2020,32013030-2d30-3032-3832-373899cdea9b,,00-0028278,BYN301611,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Randy,Bullock,K,04,,2020,32013030-2d30-3032-3934-3231a256d9de,,00-0029421,BUL521842,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Giovani,Bernard,HB,25,,2020,32013030-2d30-3033-3034-3536a3d242c7,,00-0030456,BER219765,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Shawn,Williams,S,36,,2020,32013030-2d30-3033-3034-37314e7fa6ec,,00-0030471,WIL522311,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Trey,Hopkins,C,66,STARTED,2020,32013030-2d30-3033-3037-3831b8e87cce,,00-0030781,HOP425040,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Christian,Covington,DT,99,STARTED,2020,32013030-2d30-3033-3136-313994847570,,00-0031619,COV546722,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Bobby,Hart,OT,68,STARTED,2020,32013030-2d30-3033-3136-32322e88539a,,00-0031622,HAR659972,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Mackensie,Alexander,CB,21,NOT_ACTIVE,2020,32013030-2d30-3033-3233-38398ae4dda0,,00-0032389,ALE511379,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
D.J.,Reader,DT,98,STARTED,2020,32013030-2d30-3033-3234-3234ab92c942,,00-0032424,REA148116,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Alex,Erickson,WR,12,,2020,32013030-2d30-3033-3235-3433374bea4b,,00-0032543,ERI090697,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Alex,Redmond,C,62,STARTED,2020,32013030-2d30-3033-3235-34391f149a05,,00-0032549,RED608160,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
LeShaun,Sims,CB,38,STARTED,2020,32013030-2d30-3033-3237-38332d50b627,,00-0032783,SIM767909,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
