firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Nick,Folk,K,06,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3535-3635a053aabb,00-0025565,FOL378021,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Matt,Slater,WR,18,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3632-393397ab94ad,00-0026293,SLA420538,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Brian,Hoyer,QB,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3636-3235a601d8e5,00-0026625,HOY440791,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jason,McCourty,CB,30,STARTED,2020,32013030-2d30-3032-3731-333685021492,00-0027136,MCC600480,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Julian,Edelman,WR,11,STARTED,2020,32013030-2d30-3032-3731-35304d0e9eb8,00-0027150,EDE425791,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Devin,McCourty,CB,32,STARTED,2020,32013030-2d30-3032-3736-343774326b34,00-0027647,MCC600258,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Cam,Newton,QB,01,STARTED,2020,32013030-2d30-3032-3739-33399bbb0097,00-0027939,NEW693984,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Lawrence,Guy,DT,93,STARTED,2020,32013030-2d30-3032-3831-373190daee9a,00-0028171,GUY230716,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Justin,Bethel,DB,29,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3935-3330cfc50f82,00-0029530,BET201235,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Stephon,Gilmore,DB,24,STARTED,2020,32013030-2d30-3032-3935-3432a0383d98,00-0029542,GIL801084,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Cody,Davis,DB,22,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3937-36348a112b3e,00-0029764,DAV247918,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Brandon,Copeland,LB,52,STARTED,2020,32013030-2d30-3033-3030-31305af73086,00-0030010,COP276485,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Rex,Burkhead,RB,34,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3032-3838e1100f11,00-0030288,BUR268979,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
John,Simon,LB,55,STARTED,2020,32013030-2d30-3033-3034-34325804ef31,00-0030442,SIM369947,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
James,White,RB,28,STARTED,2020,32013030-2d30-3033-3130-36325fcd18e3,00-0031062,WHI242257,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Terrence,Brooks,DB,25,STARTED,2020,32013030-2d30-3033-3133-3338a287b460,00-0031338,BRO172431,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Adrian,Phillips,DB,21,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3134-30347b4640b4,00-0031404,PHI113173,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Shaquille,Mason,G,69,STARTED,2020,32013030-2d30-3033-3135-3830a0c4d160,00-0031580,MAS237768,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Xavier,Williams,DT,98,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3137-3133516f7f7b,00-0031713,WIL577675,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
David,Andrews,C,60,STARTED,2020,32013030-2d30-3033-3138-3532657ce911,00-0031852,AND652945,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Damiere,Byrd,WR,10,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3138-3638bc374295,00-0031868,BYR127180,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Joe,Cardona,LS,49,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3232-32388d309813,00-0032228,CAR054160,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Joe,Thuney,T,62,STARTED,2020,32013030-2d30-3033-3233-39319add2f07,00-0032391,THU198074,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jonathan,Jones,CB,31,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3235-3830504d37fd,00-0032580,JON495280,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Shilique,Calhoun,LB,90,STARTED,2020,32013030-2d30-3033-3331-3232f4bf6051,00-0033122,CAL422827,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jermaine,Eluemunor,G,72,STARTED,2020,32013030-2d30-3033-3332-39304492000f,00-0033290,ELU177981,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Adam,Butler,DT,70,STARTED,2020,32013030-2d30-3033-3333-3831c2d1dfbc,00-0033381,BUT106408,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Derek,Rivers,DE,95,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3339-3230632ca365,00-0033920,RIV455810,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Deatrich,Wise,DE,91,STARTED,2020,32013030-2d30-3033-3339-3437e9f4d08f,00-0033947,WIS078731,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Ja'Whaun,Bentley,LB,51,STARTED,2020,32013030-2d30-3033-3433-3835c2122fa5,00-0034385,BEN696204,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Ryan,Izzo,TE,85,STARTED,2020,32013030-2d30-3033-3434-33391e5569f1,00-0034439,IZZ487369,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
J.C.,Jackson,DB,27,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3435-3931dbc8518a,00-0034591,JAC239712,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Korey,Cunningham,T,74,NOT_ACTIVE,2020,32013030-2d30-3033-3436-3837b54f59e8,00-0034687,CUN521305,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Isaiah,Wynn,T,76,STARTED,2020,32013030-2d30-3033-3438-33334d0c11b4,00-0034833,WYN131632,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Sony,Michel,RB,26,STARTED,2020,32013030-2d30-3033-3438-34354d4f54b0,00-0034845,MIC517884,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jakobi,Meyers,WR,16,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3439-3630b0246d62,00-0034960,MEY171606,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Joejuan,Williams,DB,33,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3532-34311420f3c0,00-0035241,WIL132673,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Hjalte,Froholdt,G,64,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3532-3538303ed19d,00-0035258,FRO242081,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jarrett,Stidham,QB,04,NOT_ACTIVE,2020,32013030-2d30-3033-3532-3634c1a3a620,00-0035264,STI129837,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Byron,Cowart,DE,99,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3532-37385b1586ec,00-0035278,COW324122,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jake,Bailey,P,07,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3532-3830f4b554ad,00-0035280,BAI429212,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
N'Keal,Harry,WR,15,STARTED,2020,32013030-2d30-3033-3536-323495d58d1f,00-0035624,HAR654593,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Chase,Winovich,DE,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3536-35342e643f41,00-0035654,WIN475149,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Jakob,Johnson,FB,47,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3537-3236a59f35c3,00-0035726,JOH321813,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
J.J.,Taylor,RB,42,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3630-39364033727f,00-0036096,TAY377437,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Josh,Uche,LB,53,NOT_ACTIVE,2020,32013030-2d30-3033-3631-353940191c7b,00-0036159,UCH415291,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
Justin,Herron,T,75,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3631-3633eef117cd,00-0036163,HER692147,New England Patriots,dolphins-at-patriots-2020-reg-1,2020-09-13T17:00:00.000Z
