firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Britton,Colquitt,P,02,,2020,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Kyle,Rudolph,TE,82,STARTED,2020,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Dan,Bailey,K,05,,2020,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
George,Iloka,DB,43,,2020,32013030-2d30-3032-3932-3135fd8ddad9,00-0029215,ILO355964,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Kirk,Cousins,QB,08,STARTED,2020,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Harrison,Smith,S,22,STARTED,2020,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Riley,Reiff,T,71,STARTED,2020,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Adam,Thielen,WR,19,STARTED,2020,32013030-2d30-3033-3030-3335960ad201,00-0030035,THI510348,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Dakota,Dozier,G,78,STARTED,2020,32013030-2d30-3033-3130-3137afe8f628,00-0031017,DOZ290704,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Shamar,Stephen,NT,93,STARTED,2020,32013030-2d30-3033-3132-3432cb806d36,00-0031242,STE351003,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Todd,Davis,LB,40,,2020,32013030-2d30-3033-3134-32375c6256e4,00-0031427,DAV768914,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Brett,Jones,T,61,,2020,32013030-2d30-3033-3134-3839ef529c84,00-0031489,JON106470,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Eric,Kendricks,LB,54,STARTED,2020,32013030-2d30-3033-3135-353413ebca60,00-0031554,KEN101224,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Anthony,Harris,S,41,STARTED,2020,32013030-2d30-3033-3137-39395725d102,00-0031799,HAR339211,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Ameer,Abdullah,RB,31,,2020,32013030-2d30-3033-3231-3034b84feb82,00-0032104,ABD647726,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Sean,Mannion,QB,04,,2020,32013030-2d30-3033-3232-3435dbcb2822,00-0032245,MAN548238,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Eddie,Yarbrough,DE,52,NOT_ACTIVE,2020,32013030-2d30-3033-3234-3830b0971980,00-0032480,YAR195862,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Rashod,Hill,T,69,,2020,32013030-2d30-3033-3235-3230f2aec2ad,00-0032520,HIL561217,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Tajae,Sharpe,WR,11,NOT_ACTIVE,2020,32013030-2d30-3033-3237-3738a2da1512,00-0032778,SHA495155,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
C.J.,Ham,RB,30,STARTED,2020,32013030-2d30-3033-3239-3138e13158b6,00-0032918,HAM006291,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Yannick,Ngakoue,DE,91,STARTED,2020,32013030-2d30-3033-3331-32336f481bcb,00-0033123,NGA355963,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Eric,Wilson,LB,50,STARTED,2020,32013030-2d30-3033-3333-3336cded481f,00-0033336,WIL683426,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Hardy,Nickerson,LB,47,STARTED,2020,32013030-2d30-3033-3333-34344a78a406,00-0033344,NIC661907,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Dalvin,Cook,RB,33,STARTED,2020,32013030-2d30-3033-3338-39337f9ee497,00-0033893,COO047079,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Jaleel,Johnson,DT,94,STARTED,2020,32013030-2d30-3033-3339-34309355a45f,00-0033940,JOH321843,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Ifeadi,Odenigbo,DE,95,STARTED,2020,32013030-2d30-3033-3339-3639e8fe8498,00-0033969,ODE690714,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Brian,O'Neill,T,75,STARTED,2020,32013030-2d30-3033-3431-3538c04fccf9,00-0034158,ONE620476,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Mike,Boone,RB,23,,2020,32013030-2d30-3033-3432-30389c6edc53,00-0034208,BOO452495,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Holton,Hill,CB,24,STARTED,2020,32013030-2d30-3033-3432-3133d49182f8,00-0034213,HIL337405,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Hercules,Mata'afa,DT,51,,2020,32013030-2d30-3033-3432-3135436dcd66,00-0034215,MAT007835,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Jalyn,Holmes,DE,90,,2020,32013030-2d30-3033-3432-36349a918d7a,00-0034264,HOL562778,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Tyler,Conklin,TE,83,,2020,32013030-2d30-3033-3432-3730c7f5889d,00-0034270,CON185250,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Chad,Beebe,WR,12,,2020,32013030-2d30-3033-3433-3039f698b097,00-0034309,BEE063507,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Mike,Hughes,CB,21,NOT_ACTIVE,2020,32013030-2d30-3033-3438-3433d612634b,00-0034843,HUG542324,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Irv,Smith,TE,84,,2020,32013030-2d30-3033-3439-37302979ed3b,00-0034970,SMI000018,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Alexander,Mattison,RB,25,,2020,32013030-2d30-3033-3439-373266fec4d2,00-0034972,MAT599622,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Dru,Samia,G,73,STARTED,2020,32013030-2d30-3033-3439-3736fd4c35b1,00-0034976,SAM031944,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Armon,Watts,DT,96,,2020,32013030-2d30-3033-3439-3932faeae254,00-0034992,WAT453754,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Olisaemeka,Udoh,T,74,NOT_ACTIVE,2020,32013030-2d30-3033-3439-3934d47ec9b9,00-0034994,UDO489451,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Olabisi,Johnson,WR,81,STARTED,2020,32013030-2d30-3033-3530-3036102529fe,00-0035006,JOH000023,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Kris,Boyd,CB,29,,2020,32013030-2d30-3033-3531-3530867e5909,00-0035150,BOY229979,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Mark,Fields,DB,32,,2020,32013030-2d30-3033-3531-353511b440b0,00-0035155,FIE329372,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
Ryan,Connelly,LB,57,,2020,32013030-2d30-3033-3535-33336c3d0d1a,00-0035533,CON420471,Minnesota Vikings,titans-at-vikings-2020-reg-3,2020-09-27T17:00:00.000Z
