firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Domata,Peko,NT,96,,2019,32013030-2d30-3032-3433-3338a2e747ba,00-0024338,PEK461869,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Sam,Koch,P,04,,2019,32013030-2d30-3032-3434-31371043198a,00-0024417,KOC420430,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Marshal,Yanda,G/T,73,STARTED,2019,32013030-2d30-3032-3534-37331c522193,00-0025473,YAN330781,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Brandon,Carr,CB,39,STARTED,2019,32013030-2d30-3032-3632-3830b7e3f619,00-0026280,CAR347675,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Anthony,Levine,DB/LB,41,,2019,32013030-2d30-3032-3735-3339e5bcf197,00-0027539,LEV588156,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Morgan,Cox,LS,46,,2019,32013030-2d30-3032-3735-3537121340d6,00-0027557,COX524880,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Earl,Thomas,S,29,STARTED,2019,32013030-2d30-3032-3738-3636ffef4ebf,00-0027866,THO124271,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Jimmy,Smith,CB,22,STARTED,2019,32013030-2d30-3032-3739-3635a9ca9b5f,00-0027965,SMI000006,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Mark,Ingram,RB,21,STARTED,2019,32013030-2d30-3032-3739-3636b58ad264,00-0027966,ING656964,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Josh,Bynes,ILB,57,STARTED,2019,32013030-2d30-3032-3832-373899cdea9b,00-0028278,BYN301611,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
L.J.,Fort,ILB,58,,2019,32013030-2d30-3032-3839-33321717a543,00-0028932,FOR595356,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Justin,Tucker,K,09,,2019,32013030-2d30-3032-3935-39371b9a6ac1,00-0029597,TUC224643,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Robert,Griffin,QB,03,,2019,32013030-2d30-3032-3936-3635a9a33dbc,00-0029665,GRI283140,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Brandon,Williams,DT,98,STARTED,2019,32013030-2d30-3033-3035-313110f7ff08,00-0030511,WIL156757,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Willie,Snead,WR/RS,83,,2019,32013030-2d30-3033-3036-3633c60355af,00-0030663,SNE115447,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
James,Hurst,G/T,74,,2019,32013030-2d30-3033-3036-3934e006a669,00-0030694,HUR496348,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
De'Anthony,Thomas,WR/RS,16,,2019,32013030-2d30-3033-3130-3630d691497a,00-0031060,THO095665,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
Seth,Roberts,WR,11,,2019,32013030-2d30-3033-3131-3636f0071728,00-0031166,ROB240370,Baltimore Ravens,texans-at-ravens-2019-reg-11,2019-11-17T18:00:00.000Z
