firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Johnathan,Joseph,CB,24,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3432-33391edddde7,00-0024239,JOS218478,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Jonathan,Weeks,LS,46,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3732-3234bf84ae94,00-0027224,WEE504348,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Joe,Webb,QB,05,STARTED,2019,32013030-2d30-3032-3737-393677199f40,00-0027796,WEB212765,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
J.J.,Watt,DE,99,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3739-34398f0874d6,00-0027949,WAT579210,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Taiwan,Jones,RB,34,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3830-363385ab36a6,00-0028063,JON731670,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Tashaun,Gipson,S,39,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3839-3234cdc19607,00-0028924,GIP543222,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Johnson,Bademosi,CB,23,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3930-36352099d08e,00-0029065,BAD600092,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Senio,Kelemete,G,64,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3935-343632832cb9,00-0029546,KEL019379,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Whitney,Mercilus,OLB,59,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3433e2722e23,00-0029643,MER110570,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Matt,Kalil,T,75,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3837fbb1cad0,00-0029687,KAL275120,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Bryan,Anger,P,09,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3936-3932e2de638d,00-0029692,ANG280911,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Darren,Fells,TE,87,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3937-33382a9a88e7,00-0029738,FEL484741,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Jahleel,Addae,S,37,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3033-313240f300fb,00-0030312,ADD129366,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
DeAndre,Hopkins,WR,10,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-3634b926c47f,00-0030564,HOP161500,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Zach,Fulton,C/G,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-39373ded1aee,00-0030997,FUL770022,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Seantrel,Henderson,T,76,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-323962bed636,00-0031029,HEN135162,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Brandon,Dunn,NT,92,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-3237adf1480b,00-0031127,DUN512273,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
Aaron,Colvin,CB,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3132-35398007ec79,00-0031259,COL801093,Houston Texans,rams-at-texans-2019-pre-4,2019-08-30T00:00:00.000Z
