firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Chase,Daniel,QB,04,,2019,32013030-2d30-3032-3635-3434e5fd94ff,00-0026544,DAN230354,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Ted,Larsen,OL,62,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3736-30379155f710,00-0027607,LAR422272,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Sherrick,McManis,DB,27,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3737-3433a73d1b32,00-0027743,MCM219811,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Prince,Amukamara,DB,20,STARTED,2019,32013030-2d30-3032-3739-3537922975d1,00-0027957,AMU221488,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Buster,Skrine,DB,24,STARTED,2019,32013030-2d30-3032-3830-3735279b363b,00-0028075,SKR296636,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Patrick,Scales,LS,48,PLAYER_SUBSTITUTE,2019,32013030-2d30-3032-3832-383485d61a86,00-0028284,SCA247669,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Bradley,Sowell,TE,85,NOT_ACTIVE,2019,32013030-2d30-3032-3930-393117f8a988,00-0029091,SOW244611,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Bobby,Massie,OL,70,STARTED,2019,32013030-2d30-3032-3935-32387a3c09ae,00-0029528,MAS441786,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Danny,Trevathan,LB,59,NOT_ACTIVE,2019,32013030-2d30-3032-3935-373722890118,00-0029577,TRE789054,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Nicholas,Williams,DT,97,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-3030748e7a41,00-0030500,WIL456378,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Cordarrelle,Patterson,WR,84,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3035-37385ea3f72d,00-0030578,PAT387075,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Cornelius,Lucas,OL,73,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3037-3235295e76a7,00-0030725,LUC054659,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Aaron,Lynch,LB,99,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3039-393353732e13,00-0030993,LYN062058,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Khalil,Mack,LB,52,STARTED,2019,32013030-2d30-3033-3130-343096316ab8,00-0031040,MAC325122,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Kyle,Fuller,DB,23,STARTED,2019,32013030-2d30-3033-3130-3431b2e4548e,00-0031041,FUL352996,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Pat,O'Donnell,P,16,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3130-3739cdb1623a,00-0031079,ODO667480,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Charles,Leno,OL,72,STARTED,2019,32013030-2d30-3033-3130-39359683374a,00-0031095,LEN389697,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Brent,Urban,DL,92,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3131-37374649c6b2,00-0031177,URB226521,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
Taylor,Gabriel,WR,18,STARTED,2019,32013030-2d30-3033-3132-3238c0947650,00-0031228,GAB627060,Chicago Bears,giants-at-bears-2019-reg-12,2019-11-24T18:00:00.000Z
