firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,gsisPlayer.person,slug,gameTime
Matt,Schaub,QB,08,STARTED,2019,32013030-2d30-3032-3237-3837e8f3d1a2,00-0022787,SCH085186,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Matt,Ryan,QB,02,,2019,32013030-2d30-3032-3631-34338634c9b6,00-0026143,RYA238179,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Alex,Mack,C,51,,2019,32013030-2d30-3032-3639-3937429253e1,00-0026997,MAC273212,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Logan,Paulsen,TE,82,,2019,32013030-2d30-3032-3732-3135e8b24c00,00-0027215,PAU641214,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Julio,Jones,WR,11,,2019,32013030-2d30-3032-3739-3434d4d3846d,00-0027944,JON640315,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Adrian,Clayborn,DE,99,,2019,32013030-2d30-3032-3739-3538ecf5c8e7,00-0027958,CLA770145,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
James,Carpenter,G,77,,2019,32013030-2d30-3032-3739-3633555ea6de,00-0027963,CAR302544,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Bruce,Carter,LB,55,STARTED,2019,32013030-2d30-3032-3739-37387a0caed5,00-0027978,CAR624497,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Allen,Bailey,DE,93,STARTED,2019,32013030-2d30-3032-3830-3234359bbd0a,00-0028024,BAI026169,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Luke,Stocker,TE,80,STARTED,2019,32013030-2d30-3032-3830-34324b72e210,00-0028042,STO088140,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Matt,Bosher,P,05,,2019,32013030-2d30-3032-3831-33304fbac780,00-0028130,BOS219856,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Josh,Harris,LS,47,,2019,32013030-2d30-3032-3838-343513058090,00-0028845,HAR000002,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Giorgio,Tavecchio,K,04,,2019,32013030-2d30-3032-3839-303781ed6e39,00-0028907,TAV164481,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Adam,Gettis,OL,72,,2019,32013030-2d30-3032-3931-3339f3d30a69,00-0029139,GET186929,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Matt,Simms,QB,09,,2019,32013030-2d30-3032-3931-353182097190,00-0029151,SIM341997,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Jack,Crawford,DL,95,STARTED,2019,32013030-2d30-3032-3936-32377ccf96c2,00-0029627,CRA660264,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Mohamed,Sanu,WR,12,,2019,32013030-2d30-3032-3936-3332c617d70d,00-0029632,SAN808447,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
John,Wetzel,OL,75,,2019,32013030-2d30-3032-3937-3632dedf3132,00-0029762,WET576319,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
Steven,Means,DE,56,,2019,32013030-2d30-3033-3033-3837d54107ee,00-0030387,MEA790667,Atlanta Falcons,,jets-at-falcons-2019-pre-2,2019-08-15T23:30:00.000Z
